"0xf03d5f0d97806124cf0b8cadb92abf317b6924c20d6e0bf3bd6146f423c8fe78","2797.5"
"0x9e83268a004b1c0baf037c82dc80e1ab15db32c031176a9862bf898dc4652192","35001.4"
"0x1c3e05fa550a41854972e5feb423f13a3830c55515f918b05d9aa51014ee724d","16500"
"0x3a89266f538e68b17b10896ed23c86e0cc663d6683e4ff8c56f259f765f57ec1","36399"
"0x613eda9949139919890064b95423623048cdc448d966e1950d36c8e58bf04256","55664"
"0xa08d097cf79ac083a3b922107a923fe45c481fb342aacde3a4baa6049a353eae","7690.858"
"0x7cc588c3942412627512111085ea3ee617e41e244af2fc473e4a98987c51490d","13514.4999"
"0x3d5106a6b1d2aab0d033be79e84e334c8c88a081534afe7bb6c9e4fa568430e3","5600"
"0xfb424d54f539b3b2d38bee99403263157b8bf02b7406b6a0a772db05f500e3d0","55831"
"0x069c334ced4d35366a714ba8dbd28cb883a86a733f9701651459f115505dc2ea","825"
"0x88892d7ff87e38e3319f0a4362fda4f69c5a0d1fc4afc7add62b1d6c27c4fd00","10947.64926312"
"0x3fcc1e11cb84573fc61a70a0513e48262ab06a31758c8a27bb924eaa182facf2","26811.27"
"0xe200178a3128b6d1521b7d81c145ae279e2035233c2d93f82257f2018c80a884","3397.9799"
"0x8f499e208fdadf7fc59ad38fa83bb53b0943b6eabd75858cb7b0fb32ced0ed1d","18018.0999"
"0x990b4928e5eae8c14c22e658bcf50ef7a8ca2b51c09eb02750387bd819a749e6","11398"
